Tournament 1
GrimTriggerPlayer: 822.76495 points.
T4TPlayer: 820.6247 points.
TitForTatPlayer2: 807.89343 points.
NicePlayer: 762.30676 points.
SoftGrudgerPlayer: 739.39636 points.
FreakyPlayer: 667.25977 points.
HardMajorityPlayer: 619.99963 points.
NastyPlayer: 614.5831 points.
RandomPlayer: 559.79767 points.
ReverseT4TPlayer: 532.94855 points.

Tournament 23
GrimTriggerPlayer: 851.5465 points.
GradualPlayer: 850.3867 points.
CombinedPlayer: 849.7232 points.
BestPlayer: 849.6618 points.
TolerantPlayer: 847.6832 points.
FirmButFairPlayer: 846.36847 points.
SinghAishwaryaPlayer: 842.47064 points.
ImprovedPlayer: 823.036 points.
T4TPlayer: 820.6033 points.
TitForTatPlayer2: 810.18353 points.
NicePlayer: 757.1986 points.
SoftGrudgerPlayer: 755.5872 points.
FreakyPlayer: 711.1598 points.
HardMajorityPlayer: 626.51184 points.
NastyPlayer: 608.8192 points.
RandomPlayer: 572.06915 points.
ReverseT4TPlayer: 509.64017 points.

Tournament 24
SinghAishwaryaPlayer: 851.15796 points.
BestPlayer: 843.6969 points.
GrimTriggerPlayer: 843.6049 points.
GradualPlayer: 839.6888 points.
CombinedPlayer: 839.34314 points.
TolerantPlayer: 836.65643 points.
FirmButFairPlayer: 836.0919 points.
T4TPlayer: 821.7914 points.
ImprovedPlayer: 818.30994 points.
TitForTatPlayer2: 814.95184 points.
NicePlayer: 770.15546 points.
SoftGrudgerPlayer: 743.7031 points.
FreakyPlayer: 681.12274 points.
NastyPlayer: 616.4191 points.
HardMajorityPlayer: 610.7508 points.
RandomPlayer: 582.0367 points.
ReverseT4TPlayer: 519.24457 points.

Tournament 25
BestPlayer: 859.6001 points.
TolerantPlayer: 853.93536 points.
GrimTriggerPlayer: 848.9717 points.
FirmButFairPlayer: 846.4933 points.
GradualPlayer: 840.90826 points.
CombinedPlayer: 838.9454 points.
T4TPlayer: 837.81116 points.
ImprovedPlayer: 827.64606 points.
TitForTatPlayer2: 827.0462 points.
SinghAishwaryaPlayer: 820.7867 points.
NicePlayer: 762.7198 points.
SoftGrudgerPlayer: 758.5511 points.
FreakyPlayer: 681.0292 points.
HardMajorityPlayer: 633.2983 points.
NastyPlayer: 626.6157 points.
RandomPlayer: 577.3353 points.
ReverseT4TPlayer: 531.2677 points.
